Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2014,2014,2014,6,1,2,Export,268,Georgia,GEO,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,100,100,420,0
H4,2014,2014,2014,6,1,1,Import,276,Germany,DEU,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,78320913,78320913,776923243,0
H4,2014,2014,2014,6,1,2,Export,276,Germany,DEU,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,202162179,202162179,1255683315,0
H4,2014,2014,2014,6,1,1,Import,300,Greece,GRC,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,10782204,10782204,112833840,0
H4,2014,2014,2014,6,1,2,Export,300,Greece,GRC,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,1591182,1591182,7169983,0
H4,2014,2014,2014,6,1,1,Import,304,Greenland,GRL,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,398152,398152,4777663,0
H4,2014,2014,2014,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,33682,33682,275401,0
H4,2014,2014,2014,6,1,2,Export,320,Guatemala,GTM,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,104764,104764,664465,0
H4,2014,2014,2014,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,2427818,2427818,26056799,0
H4,2014,2014,2014,6,1,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,555950,555950,4556449,0
H4,2014,2014,2014,6,1,3,Re-Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,13028,13028,93348,0
H4,2014,2014,2014,6,1,1,Import,348,Hungary,HUN,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,17147109,17147109,88778255,0
H4,2014,2014,2014,6,1,2,Export,348,Hungary,HUN,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,13629696,13629696,84280551,6
H4,2014,2014,2014,6,1,1,Import,352,Iceland,ISL,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,1268109,1268109,11250709,6
H4,2014,2014,2014,6,1,2,Export,352,Iceland,ISL,0,World,WLD,090121,"Coffee, tea, maté and spices // Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. // - Coffee roasted : // -- Not decaffeinated",8,Weight in kilograms,10575,10575,85073,0
